"Center","Title","Faculty Name","Research Area","Type of Work","Current State of work","Potential Applications","Keywords"
"LTRC","Manovaad - A Novel Approach to Event Oriented Corpus Creation Capturing Subjectivity and Focus","Lalitha Kameswari, Radhika Mamidi","","Data set","OTHER","",""
"LTRC","Resolving Noun Ellipsis in English","Payal Khullar","","Data set","OTHER","",""
"LTRC","Kunji - A Resource Management System for Higher Productivity in Computer Aided Translation Tools","Priyank Gupta, Rashid Ahmad, Manish Shrivastava, Dipti Misra Sharma","","Software System","Technology designed and implemented","",""
"LTRC","Automatic Question Generation Using Relative Pronouns and Adverbs","Konigari Rachna, Payal Khullar, Manish Srivastava","","Software System","Technology designed and implemented","",""
"LTRC","Dataset Creation and Evaluation Of Aspect Based Sentiment Analysis in Telugu","Yashwanth Reddy Regatte, Gangula Rama Rohit Reddy, Radhika Mamidi","","Data set","Technology designed and implemented","",""
"LTRC","Evaluating the Combination of Word Embeddings with Mixture of Experts and Cascading gcForest in Identifying Sentiment Polarity","Mounika Marreddy, Subbareddy Oota, Radha Agarwal, Radhika Mamidi","","Software System","Technology designed and implemented","",""
"LTRC","A Code-Mixed Dialog System on Health Care Data","Suman Dowlagar, Radhika Mamidi","","Software System","Technology designed and implemented","",""
"LTRC","Samajh-Boojh - A Reading Comprehension System in Hindi","Shalaka Vaidya , Hiranmai Sri Adibhatla, Radhika Mamidi","","Software System","Technology designed and implemented","",""
"LTRC","Machine Translation System for Low Resource Language Pairs","Saumitra Yadav, Vandan Mujadia, Manish Shrivastava","","Software System","Technology designed and implemented","",""
"LTRC","Linguistically Informed Hindi-English Neural Machine Translation","Vikrant Goyal, Pruthwik Mishra and Dipti Misra Sharma","","Software System","Technology designed and implemented","",""
"LTRC","AbuseAnalyzer - Abuse Detection, Severity and Target Prediction Gab Posts","Mohit Chandra, Ashwin Pathak, Eesha Dutta, Paryul Jain, Manish Gupta, Manish Shrivastava, Ponnurangam Kumaraguru","","Software System","Technology designed and implemented","",""
"LTRC","Evaluating the Combination of Word Embeddings with Mixture of Experts and Cascading gcForest in Identifying Sentiment Polarity","Mounika Marreddy, Subbareddy Oota, Radha Agarwal, Radhika Mamidi","","Software System","Technology designed and implemented","",""
"LTRC","Resource Creation","","","Data set","OTHER","",""
"LTRC","Speech to Speech Machine Translation - SSMT -","Vandan Mujadia, Dipti Misra Sharma","","Software System","Technology designed but not implemented","",""
"LTRC","ILMT APIs - ILMT System As A Service","Priyank Gupta, Prof. Dipti Misra Sharma","","Software System","Technology designed and implemented","",""
"LTRC","NMT based Similar Language Translation for Hindi - Marathi","Vandan Mujadia, Dipti Misra Sharma","","Software System","Technology designed and implemented","",""
"LTRC","Coreference Resolution for Hindi","Vandan Mujadia, Dipti Misra Sharma","","Software System","Technology designed and implemented","",""
"LTRC","Fine-grained domain classification using Transformers","Akshat Gahoi, Akshat Chhajer","","","Software System","Fine-grained domain classification using Transformers",""
"LTRC","Graph Based Automatic Domain Term Extraction","Hema Ala, Dipti Misra Sharma","","Software System","Technology designed and implemented","",""
"LTRC","Semantic Role Labelling on Hindi-English Code-Mixed Data","Riya Pal, Dipti Misra Sharma","","Software System","Technology designed and implemented","",""
"LTRC","Enriching Wikipedia Content in Indian Languages","Tushar Abhishek, Anubhav Sharma, Bhavyajeet Singh, Divanshi Gupta, Vasu Singhal, Shivprasad Sagare, Radhika Mamidi Praveen Garimella, Vasudeva Varma","Data to Text generation, enrichement of Knowledge graph (KG), Open Information Extraction,","Software System","Technology designed but not implemented","To help Indian wikipedia users to proficiently access the informative articles in native languages.",""
"LTRC","Project ANGEL - Technology for Improving Teenage Well-being","Harika Abburi, Pulkit Parikh, Sravani Boinepelli, Tathagata Raha, Varsha Redla, Niyati Chhaya, Manish Gupta, Vasudeva Varma","Hate speech detection, Mental health detection","Software System","Technology designed and implemented","To help teenage people by developing a cohesive technology stack through multi-disciplinary research",""
"LTRC","Summaformers by iREL, Systems to Generate Summaries of Scholarly Documents","Sayar Ghosh Roy, Nikhil Pinnaparaju, Risubh Jain, Manish Gupta, Vasudeva Varma","Scholarly Document Processing, Automatic Text Summarization","System design though NOT a software","Technology thoroughly tested","Generating Summaries of Scientific Research Papers",""
"LTRC","Text Style Transfer and Content Generation","Himanshu Maheshwari, Tanish Lad, Sumanth Balaji, Sagar Joshi, Shreyas Shankar, Pulkit Gera, Balaji Vasan Srinivasan, Vasudeva Varma","Style Transfer in Text and Content Generation","Contract Generation","Technology designed but not implemented","Generating Summaries using multi modal content",""
"LTRC","Fake News and Misinformation Detection","Nikhil Pinnaparaju, Tathagata Raha, Vijayasaradhi Indurthi, Manish Gupta, Vasudeva Varma","Fake News and Misinformation Detection","Idea","Technology designed and implemented","Detection of fake and false posts online",""
