"Center","Title","Faculty Name","Research Area","Type of Work","Current State of Work","Potential Applications","Keywords"
"CSG","An Edge Bandwidth Cost Gradient-based Heuristic for Fast Data - Service Delivery to Connected Vehicles under Vehicle Overlaps","Akshaj Gupta, Joseph John Cherukara, Deepak Gangadharan, BaekGyu Kim, Oleg Sokolsky and Insup Lee","Edge Computing, Connected Vehicles","The emergence of vehicle connectivity technologies and associated applications have paved the way for increased consumer interest in connected vehicles. These modern day vehicles are now capable of sending/receiving vast amounts of data and offloading computation (which is one possible service) to servers thereby improving safety, comfort, driving experience, etc. In the early stages of connectivity, all the data communication and computation offloading happened between the cloud server and the vehicles. However, this is not feasible in scenarios having strict timing requirements and bandwidth cost constraints. Vehicular Edge Computing (VEC) demonstrated an efficient way to tackle the above problem. In order to optimally utilize the resources of the edge servers for data/service delivery, an efficient edge resource allocation framework needs to be developed. In a recent work, data/service delivery to connected vehicles did not consider the vehicles present in the edge coverage region simultaneously (which we call vehicle overlaps), which resulted in overestimation of resources. In this work, we first propose an optimization framework for edge resource allocation that minimizes the bandwidth cost of data/service delivery to connected vehicles while considering the traffic flow and vehicle overlaps. Then, we propose an efficient heuristic to deliver data/service delivery based on minimizing global edge bandwidth cost gradient under vehicle overlaps. We demonstrate the improvement in resource allocation considering vehicle overlaps. Using synthetic and real world traffic data, we also provide improvements in data/service delivery times using the proposed heuristic.","Connected and self driving vehicles","V2I",""
"CSTAR","Revocation and Reconstruction of Shared Quantum Secret","Prakash Mudholkar, V. Chiranjeevi, Indranil Chakrabarty and Kannan Srinathan","","OTHER","OTHER","Design of a more secured quantum secret sharing protocols.",""
"CSTAR","Witnessing Negative Conditional Entropy","Mahathi Vempati, Indranil Chakrabarty, Nirman Ganguly , Arun K Pati","Quantum Information","OTHER","OTHER","Detection of useful states in information-theoretic protocols.",""
"CSTAR","Parallel algorithms for multi-source BFS and its applications","Seema Simoliya, Kishore Kothapalli","Graph algorithms","Algorithm","Technology designed but not implemented","Graph analytics",""
"CSTAR","Diameter calculation in Incremental graphs","Thejasvi Konduru, Kishore Kothapalli","Graph algorithms","Algorithm","Technology designed but not implemented","Real world networks are incremental graphs and the diameter computation helps us to know the development of network with time.Ex:-Facebook can be visualized as a graph where every node is a person and edge between two persons indicate whether they are friends and this graph is an incremental graph as we can unfriend a person in facebook due to which the edge between those two persons will be deleted.",""
"CSTAR","Percolation Centrality","Athreya Chandramouli, Sayantan Jana, Kishore Kothapalli","Graph centrality computations","Algorithm","Technology designed and implemented","Study of Contact Networks for Viruses, diseases or spread of rumours",""
"CSTAR","Generating Efficient Block Sparse Neural Networks using RBGP Framework","Furqan Ahmed Shaik, Dharma Teja Vooturi, Girish Varma, Kishore Kothapalli","Sparse Neural Networks","Idea","Technology designed and implemented","Computer Vision, Improved GPU performance,",""
"CSTAR","Design and Testbed Experiments of Public Blockchain-Based Security Framework for IoT-Enabled Drone-Assisted Wildlife Monitoring","Ankush Mitra, Basudeb Bera, and Ashok Kumar Das","","","","",""
"CSTAR","Smart Contract-Based Blockchain-Envisioned Authentication Scheme for Smart Farming","Anusha Vangala, Anil Kumar Sutrala, Ashok Kumar Das, and Minho Jo","","","","",""
"CSTAR","AI-Enabled Blockchain-Based Access Control for Malicious Attacks Detection and Mitigation in IoE","Basudeb Bera, Ashok Kumar Das, Mohammad S. Obaidat, Pandi Vijayakumar, Kuei-Fang Hsiao, and YoungHo Park","","","","",""
"CSTAR","Blockchain-based batch authentication protocol for Internet of Vehicles","Palak Bagga, Ashok Kumar Das, Anil Kumar Sutrala, and Pandi Vijayakumar","Internet of vehicle, Security, Cryptography","Algorithm","","Smart City, Smart Transaportation",""
"CSTAR","Consortium blockchain-enabled access control mechanism in edge computing based generic IoT environment","Sourav Saha, Durbadal Chattaraj, Basudeb Bera, and Ashok Kumar Das","","","","Smart City, Smart Transaportation, Industrial IoT",""
"CSTAR","Classification of maps which benefit from indefinite causal order -","Rohan Sharma, Indranil Chakrabarty, Chiranjib Mukhopadhyay","","","","",""
"CSTAR","Witnessing Negative Conditional Entropy","Mahathi Vempati, Indranil Chakrabarty, Nirman Ganguly , Arun K Pati","Quantum Information","OTHER","OTHER","Detection of useful states in information-theoretic protocols.",""
"CVEST","A Low-Cost Pressure Sensor Matrix for Activity Monitoring in Stroke Patients using Artificial Intelligence","Anis Fatema, Aftab M. Hussain","Flexible Sensors","Flexible sensors","In progress","Smart chairs in cars,trucks,wheel chairs and other biomedical applications such as assessing the recovery of stroke patients by performing various exercises on the pressure sensor mat",""
"CVEST","Metal coated polymer - paper-based capacitive pressure sensors","Rishabh B. Mishra, Shubham Mante, Aftab M. Hussain","Paper and Do-it-yourself (DIY) electronics","Design criteria, mathematical modelling, Finite element modelling, DIY fabrication and Characterisation","Some part of works are completed and published however study of mechanics of material is still in progress.","Ultra low (acoustic) and high pressure (air-flow) monitoring",""
"CVEST","oneM2M for IoT networks","Shubham Mante","Internet of Things","Analysis of current smart city implementations and finding ways to improve them.","Doing literature survey of current implementations.","Smart City",""
"CVEST","KiteCam - a novel approach to low-cost aerial surveillance","Abhinav Navnit, Deeksha Devendra, Anushka Tiwari, Aftab M. Hussain","IoT","Hardware, experimental","Version 1 completed","disaster relief planning, wildlife monitoring, border monitoring etc",""
"CVEST","NIR spectra study of Biosamples","Sajal Khandelwal","","","","",""
"CVEST","Integrated Optoelectronic Oscillator designs in Photonic Integrated Circuit Technology - PIC - -","Mariya Wani","Photonic Integrated circuits/Microwave Photonics","Two novel concepts of an OEO design for telecommunication applications using Silicon Photonics technology have been designed.","Simulation calculations and relative comparison between its analog counterpart on phase noise is done","Telecommunication",""
"CVEST","Plastic optical fiber based pressure sensor","Vrushali Arute","Optoelectronics sensors","Pressure Sensor development","Sensor development in process","Pressure Sensor Carpet designing for biomedical application",""
"CVEST","Compact Electric Vehicle Charging Station using Open Charge Point Protocol - OCPP - for E-scooters","Deeksha Devendra","","","","",""
"CVEST","DATABASE ACCELERATION USING RECONFIGURABLE COMPUTING TO ACTUATE THE CPU WORKLOAD","Harsha Vardhan Reddy Vudumula","","","","",""
"CVEST","Nozzle - diffuser pump","S. Bhattacharjee, A. M. Hussain","","","","",""
"CVEST","LoRaWAN for Energy Metering","Ruthwik Mupalla","","","","",""
"CVEST","Low Cost Microfabrication","Justin Alex","Micro Fabrication","Fabrication","Fabricating a micro channel","Detection of VOC",""
"CVEST","ATM - Approximate Toom-Cook Multiplication for Speech Processing Applications","Salman Ahmed M, Deepthi Amuru, Zia Abbas","","","","",""
"CVEST","Low-Cost Sensor Fabrication","Dr.Anshu Sarje, Sampath Kumar","","","","",""
"CVIT","Audio Keyword Spotting","Kirandevraj, Vinod Kumar Kurmi, Vinay Namboodri, C. V. Jawahar","Audio Processings, Speech Recognition, Keyword Spotting","Algorithm","Technology designed and implemented","Audio Surveillence, Audio Recogntion",""
"CVIT","The Interplay of Speech and Lip Movements","Rudrabha Mukhopadhyay, Sindhu Hegde, Vinay Namboodiri, C. V. Jawahar","Multi-modal learning, Self-supervised learning, Audio-visual deep learning, Generating Talking Face Videos, Lip-to-Speech, Audio-visual Speech Enhancement","Algorithm","Technology designed and implemented","Retrieving data. Wait a few seconds and try to cut or copy again.",""
"CVIT","Exploring Genotype-phenotype relationships of Breast Cancer","Ruchi Chauhan, C. V. Jawahar, P. K. Vinod","Breast cancer, Imaging Genomics, Medical Image Analysis, Digital Pathology","Algorithm","Technology designed and implemented","Computer Aided Diagnosis towards precision medicine, and academic utility in knowledge discovery for breast cancer",""
"CVIT","Asking Questions on Images - Videos Containing Text","Minesh Mathew, George Tom, Sangeeth Reddy, Viraj Bagal, Ali Furkan Biten, Ruben Tito, Andres Mafla, Lluis Gomez, Mar al Rusi ol, Ernest Valveny, C. V. Jawahar, Dimosthenis Karatzas","","","","",""
"CVIT","Understanding Deep Face Models through Canonical Saliency Maps","Thrupthi Ann John, Vineet N Balasubramanian. and C. V. Jawahar","Face models, deep model visualization, interpretability, biometrics, face recognition, gender recognition, age, head pose, saliency heatmaps, fairness, bias","Algorithm","Technology designed and implemented","Diagnosis of deep models, Understand face models, detecting bias and fairness problems in face models, visualization of face models",""
"CVIT","DGAZE - Driver Gaze Mapping on Road","Isha Dua, Thrupthi Ann John, Riya Gupta and C. V. Jawahar","Gaze mapping, Advanced driver assistance systems","Data set","Technology designed and implemented","driver assistance systems, driver attention monitoring systems",""
"CVIT","Improving Word Recognition and Retrieval","Siddhant Bansal, Praveen Krishnan, and C. V. Jawahar","Word Recognition, Word Retrieval","Algorithm","Technology designed and implemented","Querying large documents' collections, Creating reliable text recognizer systems, Automatic annotations tools.",""
"CVIT","PeeledHuman - Robust Shape Representation for Textured 3D Human Body Reconstruction","Sai Sagar Jinka, Rohan Chacko, Avinash Sharma, P. J. Narayanan","3D Human reconstruction, 3D vision","Algorithm","Technology designed and implemented","Entertainment industry, e-commerce, health-care, AR/VR platforms",""
"CVIT","AFN - Attentional Feedback Network based 3D Terrain Super-Resolution","Ashish Kubade, Diptiben Patel, Avinash Sharma, K. S. Rajan","Terrain Modeling","Algorithm","Technology designed and implemented","Simulations, Route planning, Analysis of surface dynamics, Computer graphics-based games",""
"CVIT","Table detection and recognition in document images","Madhav Agarwal, Sacin Raja, Ajoy Mondal, and C. V. Jawahar","Table Detection, Table Structure Recognition, Document Analysis","Algorithm","Technology designed and implemented","Document Image Analysis, Document Understanding",""
"CVIT","GlocalNet - Class-aware Long-term Human Motion Synthesis","Neeraj Battan, Yudhik Agrawal, Sai Soorya Rao, Aman Goel, and Avinash Sharma","3D Human motion generation, Skeleton sequences","Algorithm","Technology designed and implemented","Augmented Reality, 3D character animations, pedestrian trajectory prediction",""
"DSAC","Competitive Skyline Analytics","Jayitha Cherapanamjeri, Kamalakar Karlapalem","database systems, data analytics","systems, algorithm design, metric design","Product being developed","This work can be used in a multitude of ways. You can use competitive densities to identify regions of high or low competitiveness within market segments when trying to develop a new product in an already competitive space. This work can also be used for recommendations - for instance, to find a replacement for a player in a team so as to either retain the balance in the team or improve the team as a whole",""
"DSAC","A Multi Perspective Access Control in a Smart Home","Shravya Kanchi, Kamalakar Karlapalem","Computer Security, Access Control for smart home systems","System design","Product being developed","In a shared multi user multi device smart home setup.",""
"DSAC","Discovering Partial Periodic Spatial Patterns in Spatiotemporal Databases","R.Uday kiran, C. Saideep, P. Krishna reddy","Pattern Mining/Periodic pattern mining","algorithm","Technology designed and implemented","Environmental studies, Road traffic analytics",""
"DSAC","Discovering Periodic Patterns in Irregular Time Series","C. Saideep, R.Uday kiran, P. Krishna reddy","Pattern Mining/Periodic pattern mining","","Technology designed and implemented","Health care analytics",""
"DSAC","Multi-location visibility query processing using portion-based transactional modeling and pattern mining","Lakshmi Gangumalla, P. Krishna Reddy, Anirban Mondal","Data Mining","Algorithm","Technology designed and implemented","defence-related surveillance, identifying interesting",""
"DSAC","A Model of Career Path Map for efficient career path retrieval","P Krishna Reddy, Chandra Shekar N","Cyber Physical Systems including AI, IOT and Cyber Security","application","Technology designed but not implemented","spots in tourist places, remote surveillance in regions such as forests",""
"DSAC","Analysis of similar weather conditions to improve reuse in weather-based decision support systems -","Alugubelly Mamatha, Polepalli Krishna Reddy, Gade Sreenivas, Seishi Ninomiya","Data mining/Pattern mining","Framework/Algorithm","Technology designed and implemented","Weather-based advisory system/Agromet advisory system by IMD",""
"DSAC","Improving reuse in block-level agromet advisory system","P. Krishna Reddy","Data mining/ Pattern Mining","framework","OTHER","Weather-based agromet advisory",""
"DSAC","Improving Product Placement in Retail with Generalized High-Utility Itemsets","","Applications of Data Mining in Retail domain","Algorithm","Technology designed and implemented","Product Placement in Retail",""
"DSAC","Design and Testbed Experiments of Blockchain-Based Security Framework for IoT-Enabled Drone-Assisted Wildlife Monitoring","Ankush Mitra,Basudeb Bera, Ashok Kumar Das","ECC based encryption and Blockchain","Software System","Technology thoroughly tested","Wildlife monitoring",""
"DSAC","A Revenue-based Product Placement Framework to Improve Diversity in Retail Businesses","Pooja Gaur, P Krishna Reddy, M Kumara swami, Anirban Mondal","Data Science/Diverse Recommendation","Algorithm","Technology designed and implemented","Increasing revenue in retail stores while maintaining long-term sustainability",""
"EERC","Primer on Rapid Visual Screening of Buildings, NDMA","Aniket Bhalkikar,Pulkit Velani,Raghunandan Vyas.P, Neelima Patnala, Niharika Talyan,Bharat Prakke, Pradeep Ramancharla","Seismic Vulnerability Assessment","","","",""
"EERC","UNDP Ward Disaster Management Plan for Visakhapatnam","Raghunandan Vyas.P,Pulkit Velani ,Aniket Bhalkikar, Supriya Yerramsetty,Bharat Prakke, Pradeep Kumar Ramancharla","","","","",""
"EERC","UNDP Ward Disaster Management Plan for Vijayawada","Supriya Yerramsetty,Pulkit Velani ,Aniket Bhalkikar, Raghunandan Vyas.P, Pradeep Kumar Ramancharla","","","","",""
"EERC","Hazard, Vulnerability and Risk Assessment of Himachal Pradesh","Rajaram Chenna, Ajay Sreerama, Pulkit Velani ,S.Raju, Krishna Babu Predeep Kumar Ramancharla","","","","",""
"EERC","Structural HealthMonitoring of Building using IITK Sensor due to Seismic Disturbances in Chandigarh, India","Himachandan Dasari, Pulkit Velani, Pradeep Kumar Ramancharla","Seismic vulnerability and Structural health Monitoring","","","",""
"EERC","Seismic Analysis and Design Recommendations for Uran-Chakan-Shikrapur LPG Pipeline","Pulkit Velani, Supriya Yerramsetty, Pradeep Kumar Ramancharla","","","","",""
"EERC","Vulnerability Assessment of Heritage Structure - Ramappa Temple - due to Blast Induced Ground Motions","D. Hima Chandan, R. Pradeep Kumar D. Srinagesh , T. Seshunarayana , R. K. Chadha ,Narender Bodige, G. Suresh and C. V. R. Murty","","","","",""
"EERC","Seismic Performance Of RC Tall Building With Columns Resting On Transfer Storey","Pradeep Kumar R, Pulkit Velani","","","","",""
"EERC","Path Dependent Seismic Energy Attenuation at Site from the Himalayan and Hindu Kush region Earthquakes","Niharika Talyan, Pradeep Kumar R","","","","",""
"EERC","A comparative study of absorbing layer method for radiating boundary conditions","Ravi Shankar Badry,Pradeep Kumar R","","","","",""
"EERC","Local Absorbing Boundary Conditions for Visco-Elastic Wave Propagation in Unbounded Domain","Ravi Shankar Badry,Pradeep Kumar R","","","","",""
"EERC","Forecasting Earthquakes Using Recurrent Neural Networks","Swapnil Nayan, Aniket.B, Bharat.P, Pradeep Kumar R","","","","",""
"EERC","A Comparitive Study of Different RVS Methods used for Preliminary Assessemnt of existing RC Buildings","Aniket.B, Pradeep Kumar R","","","","",""
"EERC","Performance Assessment of Buildings Designed with and without SSI","Etoori Keerthana and Pradeep Kumar R","","","","",""
"EERC","Earthquake Behaviour of Buildings on Slopes","Ramya.G, Pradeep Kumar R","","","","",""
"EERC","New Empirical Formula for Fundamental Period of Tall Buildings in India by Ambient Vibration Test","Pradeep kumar R,Pulkit.V","","","","",""
"EERC","Quantification Of Damage Using Hinge Pattern In RC Moment Resisting Frame Buildings","Aniket Bhalkikar and Pradeep Kumar R","","","","",""
"EERC","Comparison of Building Performance with Partial Retrofitting and Full Retrofitting","Niharika T., Aniket B. And Pradeep Kumar R","","","","",""
"EERC","Estimation Of Seismic Hazard For Kathmandu, Nepal And Adjacent Regions","C.Rajaram, P.Neelima, Pradeep Kumar R","","","","",""
"EERC","Effect of fault normal and parallel components of near and far field ground motions on low rise buildings","P.Neelima, Pradeep Kumar R","","","","",""
"EERC","Variation Of Ground Motion Characteristics In Parallel And Normal Directions In Near-Fault Region - A Case Study On 1999 Chi-Chi Earthquake","P.Neelima, Pradeep Kumar R","","","","",""
"EERC","Comparision Of Direct Displacement Seismic Design With Force Based Design Using Indian Standards - A Case Study","P.Vyas, Pradeep Kumar R","","","","",""
"EERC","Design Optimization of RC Moment Frames by ABC Optimization and Finite Element Method using System of Design Rules","G.Harshavardhen, Sunitha Palissery","","","","",""
"EERC","EFFECTS OF VERTICAL GROUND MOTIONS ON THE DESIGN OF REGULAR RC BUILDINGS LOCATED IN SEISMIC ZONE V","P.Vyas, Pradeep Kumar R","","","","",""
"EERC","Verification Of The Sufficiency Of Adjustment Of Mass For Compensating The Accidental Eccentricities","P.Vyas, Pradeep Kumar R","","","","",""
"EERC","Earthquake Disaster Risk Index - A Simple Method for Assessing Relative Risk in a Country","Pradeep Kumar R, C.V.R. Murthy","","","","",""
"EERC","Analysis Of Hill Slope Buildings For Twist Variation With Change In Aspect Ratio","Rahul Vishwakarma Suresh, Pradeep Kumar R","","","","",""
"EERC","IMPORTANCE OF SEISMIC SAFETY OF NONSTRUCTURAL ELEMENTS IN HOSPITAL BUILDINGS","S .Saranya , Sunitha Palissery","","","","",""
"EERC","QUANTIFYING PARAMETERS FOR IMPROVED ENERGY DISSIPATION CAPACITY IN LOW-RISE RC OPEN STOREY BUILDINGS","Sai Vineela , Sunitha Palissery","","","","",""
"HAI","LigGPT - Molecular Generation using a Transformer- Decoder Model","Viraj Bagal, Rishal Aggarwal, Vinod P.K., Deva Priyakumar U.","Generative networks, optimization","Algorithm","Technology designed and implemented","AI in Healthcare",""
"HAI","DeepPocket - Ligand Binding Site Detection Using Convolutional Neural Networks","Rishal Aggarwal, Akash Gupta, Jawahar C.V., Deva Priyakumar U.","Deep Learning, Drug Discovery, Structural Biolog","Algorithm","Technology designed and implemented","Drug Design, Healthcare",""
"HAI","MMBERT - Multimodal BERT for Improved Medical VQA","Yash Khare, Viraj Bagal, Minesh Mthew, Adithi Devi, Jawahar C.V. Deva Priyakumar U.","Deep Learning, Multimodal, VQA","Algorithm","Technology designed and implemented","AI in Healthcare",""
"HAI","Ayu - Characterization - Prediction - of Healthy Ageing from Neuroimaging Data","","Neuroimaging, Brain Age Prediction, Explainability","Algorithm","Technology designed and implemented","AI in Healthcare",""
"HAI","PreHost - Host Prediction of Coronaviridae family using genomic sequences -","Anusha Chaturvedi, Kushal Borkar, Vinod P.K., Deva Priyakumar U.","Computational Biology, Computational Genomics, Machine Learning, Classification Models","Algorithm","Technology designed and implemented","AI in Healthcare",""
"HAI","ASD Classification using Static and Dynamic Functional Connectivity","Yash Khare, Pindi Krishna Chandra Prasad, Bapi Raju, Vinod P.K.","Neuroimaging, Neuropsychiatric Disorders, Prediction, Interpretation, Diagnosis","Algorithm","Technology designed but not implemented","AI in Healthcare",""
"HAI","Deep Learning in Histopathology Whole Slide Images -","C V Jawahar, Vinod P. K., Ashish Menon, Piyush Gupta, Krishna Chandra, Akash Gupta, Anirudh Reddy","Deep Learning, Histopathology Images, Multiple Instance Learning","Algorithm","Technology designed and implemented","AI in Healthcare",""
"HAI","Explainable Arrythmia Detection using Deep Learning","Likith Reddy, Vivek Talwar, Bapi Raju, Deva Priyakumar U.","Explainablility","Algorithm","Technology designed and implemented","AI in Healthcare",""
"HAI","Enhanced Sampling of Chemical Space for High Throughput Screening Applications using Machine Learning","Sarvesh Mehta, Siddhartha Laghuvarapu, Yashaswi Pathak, Aaftaab Sethi, Mallika Alvala, Deva Priyakumar U.","Bayesian Optimization","Algorithm","Technology designed and implemented","Drug Design",""
